,Unnamed: 0,brand,category,words,emotion,sim
515,2122,0,0,색 ,999,0.4879706799983978
516,3289,0,7,종일 ,999,0.48783209919929504
517,2094,0,0,위쪽 ,999,0.4877474009990692
518,1521,0,5,지니 ,999,0.4875919222831726
519,67,0,4,셋톱박스 ,999,0.4875919222831726
520,3783,0,7,치킨 ,999,0.48743006587028503
521,3656,0,7,설명서 ,999,0.48709431290626526
522,2095,0,0,뒷면 ,999,0.4870736598968506
523,226,0,4,팅커벨 ,999,0.48703470826148987
524,3784,0,7,택시 ,999,0.4870114028453827
525,2842,0,1,정기 ,999,0.4856935739517212
526,3412,0,7,일본어 ,999,0.48532235622406006
527,2149,0,0,겉 ,999,0.48530179262161255
528,159,0,4,레베카 ,999,0.48527273535728455
529,2316,0,0,보증서 ,999,0.4851890206336975
530,633,0,8,플랫폼 ,999,0.4849356412887573
531,3064,0,6,구매자 ,999,0.48461294174194336
532,2275,0,0,사진 ,999,0.48417943716049194
533,2339,0,0,빛 ,999,0.48411956429481506
534,3095,0,6,네이버 ,999,0.48379257321357727
535,3354,0,7,밤 ,999,0.4830266833305359
536,3,0,4,캔 ,999,0.4822516441345215
537,827,0,8,엄마 ,999,0.4820305109024048
538,2724,0,1,증정 ,999,0.4817918837070465
539,1650,0,5,예판 ,999,0.48176175355911255
540,2340,0,0,파란색 ,999,0.48111018538475037
541,4062,0,2,튜닝 ,999,0.4810645878314972
542,2788,0,1,월 ,999,0.4804001748561859
543,2123,0,0,밝기 ,999,0.48017269372940063
544,3999,0,2,음향 ,999,0.47992825508117676
545,2747,0,1,찬스 ,999,0.4786740839481354
546,99,0,4,엔진 ,999,0.4785381257534027
547,2814,0,1,파격 ,999,0.4782962203025818
548,1711,0,5,접수 ,999,0.4780551791191101
549,2318,0,0,동봉 ,999,0.47784024477005005
550,2151,0,0,케이스 ,999,0.47756871581077576
551,2188,0,0,귀염 ,999,0.4775533974170685
552,4223,0,3,콘센트 ,999,0.4775068461894989
553,1587,0,5,샤오미 ,999,0.4771097004413605
554,3382,0,7,수면 ,999,0.47696763277053833
555,3290,0,7,날 ,999,0.47673726081848145
556,2594,0,0,잠 ,999,0.47632473707199097
557,890,0,8,치킨 ,999,0.4758144021034241
558,2789,0,1,위드 ,999,0.47570887207984924
559,2064,0,0,군더더기 ,999,0.47566625475883484
560,2503,0,0,스피커 ,999,0.4755924344062805
561,100,0,4,발전 ,999,0.4755755066871643
562,3753,0,7,주식 ,999,0.4754444360733032
563,3065,0,6,결제 ,999,0.47531551122665405
564,2790,0,1,수량 ,999,0.4752848744392395
565,3356,0,7,잠 ,999,0.47449567914009094
566,3096,0,6,가입 ,999,0.47437724471092224
567,2320,0,0,재질 ,999,0.47414714097976685
568,4290,0,3,상자 ,999,0.47360408306121826
569,2375,0,0,클로버 ,999,0.47359079122543335
570,512,0,4,브라운 ,999,0.47359076142311096
571,2571,0,0,모닝콜 ,999,0.47357088327407837
572,3232,0,7,등등 ,999,0.47352081537246704
573,2321,0,0,바닥 ,999,0.4733960032463074
574,2843,0,1,무제한 ,999,0.47279420495033264
575,2400,0,0,콤팩트 ,999,0.47251763939857483
576,413,0,4,카카오 ,999,0.4723547697067261
577,2096,0,0,뒤쪽 ,999,0.4722985625267029
578,665,0,8,질문 ,999,0.4722122550010681
579,2791,0,1,발매 ,999,0.4719714820384979
580,40,0,4,스마트 ,999,0.4719591438770294
581,3940,0,7,위드 ,999,0.4716917872428894
582,4263,0,3,구성 ,999,0.47117879986763
583,3438,0,7,관리 ,999,0.47106239199638367
